index,precision,recall,f1-score,support,ej_time
bee,0.8549848942598187,0.8761609907120743,0.8654434250764526,323.0,6.843446530793843
other_insect,0.8673469387755102,0.8762886597938144,0.8717948717948717,291.0,6.843446530793843
other_noinsect,0.9335347432024169,0.9507692307692308,0.9420731707317073,325.0,6.843446530793843
wasp,0.8419354838709677,0.7981651376146789,0.8194662480376765,327.0,6.843446530793843
accuracy,0.8751974723538705,0.8751974723538705,0.8751974723538705,0.8751974723538705,6.843446530793843
macro avg,0.8744505150271783,0.8753460047224495,0.874694428910177,1266.0,6.843446530793843
weighted avg,0.8746206751944603,0.8751974723538705,0.8746996663413324,1266.0,6.843446530793843
