index,precision,recall,f1-score,support,ej_time
bee,0.8970588235294118,0.9442724458204335,0.9200603318250377,323.0,6.928715618033158
other_insect,0.9195804195804196,0.9037800687285223,0.9116117850953207,291.0,6.928715618033158
other_noinsect,0.9492537313432836,0.9784615384615385,0.9636363636363636,325.0,6.928715618033158
wasp,0.9114754098360656,0.8501529051987767,0.879746835443038,327.0,6.928715618033158
accuracy,0.919431279620853,0.919431279620853,0.919431279620853,0.919431279620853,6.928715618033158
macro avg,0.9193420960722951,0.9191667395523178,0.91876382899994,1266.0,6.928715618033158
weighted avg,0.9193584706167951,0.919431279620853,0.9188922196002506,1266.0,6.928715618033158
