index,precision,recall,f1-score,support,ej_time
bee,0.9112426035502958,0.9535603715170279,0.9319213313161875,323.0,6.598998308181763
other_insect,0.9178082191780822,0.9209621993127147,0.9193825042881647,291.0,6.598998308181763
other_noinsect,0.9577039274924471,0.9753846153846154,0.9664634146341464,325.0,6.598998308181763
wasp,0.9180327868852459,0.8562691131498471,0.8860759493670886,327.0,6.598998308181763
accuracy,0.9265402843601895,0.9265402843601895,0.9265402843601895,0.9265402843601895,6.598998308181763
macro avg,0.9261968842765178,0.9265440748410513,0.9259607999013967,1266.0,6.598998308181763
weighted avg,0.9264328992686321,0.9265402843601895,0.9260650426241076,1266.0,6.598998308181763
