index,precision,recall,f1-score,support,ej_time
bee,0.8365650969529086,0.934984520123839,0.8830409356725145,323.0,8.386070577721847
other_insect,0.9138576779026217,0.8384879725085911,0.8745519713261648,291.0,8.386070577721847
other_noinsect,0.9388379204892966,0.9446153846153846,0.9417177914110428,325.0,8.386070577721847
wasp,0.8392282958199357,0.7981651376146789,0.8181818181818182,327.0,8.386070577721847
accuracy,0.8799368088467614,0.8799368088467614,0.8799368088467614,0.8799368088467614,8.386070577721847
macro avg,0.8821222477911908,0.8790632537156233,0.8793731291478851,1266.0,8.386070577721847
weighted avg,0.8812741607247968,0.8799368088467614,0.8794001442592256,1266.0,8.386070577721847
