index,precision,recall,f1-score,support,ej_time
bee,0.9099099099099099,0.9380804953560371,0.923780487804878,323.0,6.6305744271529345
other_insect,0.9290780141843972,0.9003436426116839,0.9144851657940664,291.0,6.6305744271529345
other_noinsect,0.9434523809523809,0.9753846153846154,0.9591527987897126,325.0,6.6305744271529345
wasp,0.8920634920634921,0.8593272171253823,0.8753894080996885,327.0,6.6305744271529345
accuracy,0.9186413902053713,0.9186413902053713,0.9186413902053713,0.9186413902053713,6.6305744271529345
macro avg,0.918625949277545,0.9182839926194297,0.9182019651220863,1266.0,6.6305744271529345
weighted avg,0.9183170527194678,0.9186413902053713,0.9182253371740153,1266.0,6.6305744271529345
